team,thesportsdb_team_id,thesportsdb_team,country,league,stadium,badge,logo,banner,match_status
Saudi Arabia,136137,Saudi Arabia,Saudi Arabia,FIFA World Cup,Prince Faisal bin Fahd Stadium,https://r2.thesportsdb.com/images/media/team/badge/24xwpq1594125742.png,https://r2.thesportsdb.com/images/media/team/logo/12u0bb1668856387.png,https://www.thesportsdb.com/images/media/team/banner/lbtvrp1781003558.jpg,exact
Scotland,136450,Scotland,Scotland,FIFA World Cup,Hampden Park,https://r2.thesportsdb.com/images/media/team/badge/3691i11552945146.png,https://r2.thesportsdb.com/images/media/team/logo/kz9e6m1718110195.png,https://r2.thesportsdb.com/images/media/team/banner/if3ycn1718110572.jpg,exact
Senegal,136143,Senegal,Senegal,FIFA World Cup,Stade Léopold Sédar Senghor,https://www.thesportsdb.com/images/media/team/badge/slayb01780546342.png,https://www.thesportsdb.com/images/media/team/logo/bhfal41780546384.png,https://www.thesportsdb.com/images/media/team/banner/hc5imc1780567805.jpg,exact
South Africa,136482,South Africa,South Africa,FIFA World Cup,FNB Stadium,https://r2.thesportsdb.com/images/media/team/badge/xjz9j91553368824.png,https://www.thesportsdb.com/images/media/team/logo/65pfft1779967232.png,https://www.thesportsdb.com/images/media/team/banner/6mzsgc1780649154.jpg,exact
South Korea,134517,South Korea,South Korea,FIFA World Cup,Seoul World Cup Stadium,https://r2.thesportsdb.com/images/media/team/badge/a8nqfs1589564916.png,https://r2.thesportsdb.com/images/media/team/logo/4r9qrc1597947773.png,https://www.thesportsdb.com/images/media/team/banner/cwbizx1779189681.jpg,exact
Spain,133909,Spain,Spain,FIFA World Cup,Estadio Santiago Bernabéu,https://r2.thesportsdb.com/images/media/team/badge/ncgqyr1726166942.png,https://r2.thesportsdb.com/images/media/team/logo/5p8fhy1616514698.png,https://r2.thesportsdb.com/images/media/team/banner/pap5my1622884446.jpg,exact
Sweden,133916,Sweden,Sweden,FIFA World Cup,Strawberry Arena,https://r2.thesportsdb.com/images/media/team/badge/h5adzg1591981772.png,https://r2.thesportsdb.com/images/media/team/logo/cm7iew1591981773.png,https://www.thesportsdb.com/images/media/team/banner/3ozjh81780651306.jpg,exact
Switzerland,134506,Switzerland,Switzerland,FIFA World Cup,Stade de Genève,https://r2.thesportsdb.com/images/media/team/badge/mb7yqe1717365808.png,https://r2.thesportsdb.com/images/media/team/logo/8rptij1599314635.png,https://www.thesportsdb.com/images/media/team/banner/hk21hi1779275394.jpg,exact
Tunisia,136142,Tunisia,Tunisia,FIFA World Cup,Stade Olympique de Radès,https://r2.thesportsdb.com/images/media/team/badge/7r89rg1526727277.png,https://r2.thesportsdb.com/images/media/team/logo/ghk06z1742004672.png,https://www.thesportsdb.com/images/media/team/banner/4gr67f1779188894.jpg,exact
Turkey,135985,Turkey,Turkey,FIFA World Cup,Rams Park,https://r2.thesportsdb.com/images/media/team/badge/70c4oo1591982459.png,https://www.thesportsdb.com/images/media/team/logo/lwrfk61780503784.png,https://www.thesportsdb.com/images/media/team/banner/c1zsyx1780648815.jpg,exact
United States,134514,USA,United States,FIFA World Cup,,https://r2.thesportsdb.com/images/media/team/badge/21f0oi1597948195.png,https://r2.thesportsdb.com/images/media/team/logo/b09tk51597948183.png,https://r2.thesportsdb.com/images/media/team/banner/k4mls81773846954.jpg,exact
Uruguay,134504,Uruguay,Uruguay,FIFA World Cup,Estadio Centenario,https://r2.thesportsdb.com/images/media/team/badge/6vjbr11726167756.png,https://www.thesportsdb.com/images/media/team/logo/3mg0fp1780257477.png,https://www.thesportsdb.com/images/media/team/banner/uolhxc1780648550.jpg,exact
Uzbekistan,140151,Uzbekistan,Uzbekistan,FIFA World Cup,Milliy Stadium,https://r2.thesportsdb.com/images/media/team/badge/u5bgze1597943605.png,https://r2.thesportsdb.com/images/media/team/logo/sd891j1597943605.png,https://www.thesportsdb.com/images/media/team/banner/uv97n11780475330.jpg,exact
