match_date,tournament,team_a,team_b,is_home,neutral,elo_team,elo_opponent,elo_diff,fifa_rank_team,fifa_rank_opponent,fifa_rank_diff,fifa_points_team,fifa_points_opponent,fifa_points_diff,wins_last_5,draws_last_5,losses_last_5,points_last_5,goals_scored_last_5,goals_conceded_last_5,avg_goals_scored_last_5,avg_goals_conceded_last_5,clean_sheets_last_5,weighted_form_last_5,avg_opponent_elo_last_5,wins_vs_top30_last_5,points_vs_top30_last_5,wins_vs_top50_last_5,points_vs_top50_last_5,elo_change_last_5,wins_last_10,draws_last_10,losses_last_10,points_last_10,goals_scored_last_10,goals_conceded_last_10,avg_goals_scored_last_10,avg_goals_conceded_last_10,clean_sheets_last_10,weighted_form_last_10,avg_opponent_elo_last_10,wins_vs_top30_last_10,points_vs_top30_last_10,wins_vs_top50_last_10,points_vs_top50_last_10,elo_change_last_10,opponent_wins_last_5,opponent_draws_last_5,opponent_losses_last_5,opponent_points_last_5,opponent_goals_scored_last_5,opponent_goals_conceded_last_5,opponent_avg_goals_scored_last_5,opponent_avg_goals_conceded_last_5,opponent_clean_sheets_last_5,opponent_weighted_form_last_5,opponent_avg_opponent_elo_last_5,opponent_wins_vs_top30_last_5,opponent_points_vs_top30_last_5,opponent_wins_vs_top50_last_5,opponent_points_vs_top50_last_5,opponent_elo_change_last_5,opponent_wins_last_10,opponent_draws_last_10,opponent_losses_last_10,opponent_points_last_10,opponent_goals_scored_last_10,opponent_goals_conceded_last_10,opponent_avg_goals_scored_last_10,opponent_avg_goals_conceded_last_10,opponent_clean_sheets_last_10,opponent_weighted_form_last_10,opponent_avg_opponent_elo_last_10,opponent_wins_vs_top30_last_10,opponent_points_vs_top30_last_10,opponent_wins_vs_top50_last_10,opponent_points_vs_top50_last_10,opponent_elo_change_last_10,wins_last_5_diff,draws_last_5_diff,losses_last_5_diff,points_last_5_diff,goals_scored_last_5_diff,goals_conceded_last_5_diff,avg_goals_scored_last_5_diff,avg_goals_conceded_last_5_diff,clean_sheets_last_5_diff,weighted_form_last_5_diff,avg_opponent_elo_last_5_diff,wins_vs_top30_last_5_diff,points_vs_top30_last_5_diff,wins_vs_top50_last_5_diff,points_vs_top50_last_5_diff,elo_change_last_5_diff,wins_last_10_diff,draws_last_10_diff,losses_last_10_diff,points_last_10_diff,goals_scored_last_10_diff,goals_conceded_last_10_diff,avg_goals_scored_last_10_diff,avg_goals_conceded_last_10_diff,clean_sheets_last_10_diff,weighted_form_last_10_diff,avg_opponent_elo_last_10_diff,wins_vs_top30_last_10_diff,points_vs_top30_last_10_diff,wins_vs_top50_last_10_diff,points_vs_top50_last_10_diff,elo_change_last_10_diff,result,target
1993-01-08,Friendly,Uganda,Tanzania,1,0,1504,1300,204,92,80,12,12.0,15.0,-3,2,2,1,8,9,6,1.8,1.2,1,1.5333,1427.8,0,0,0,0,8.0,5,2,3,17,20,13,2.0,1.3,3,1.6909,1395.0,0,0,0,0,8.0,2,1,2,7,6,5,1.2,1.0,1,1.6667,1378.75,0,0,0,0,0.0,2,3,5,9,8,15,0.8,1.5,2,1.2182,1444.3333,0,0,0,0,48.0,0,1,-1,1,3,1,0.6,0.2,0,-0.1334,49.05,0,0,0,0,8,3,-1,-2,8,12,-2,1.2,-0.2,1,0.4727,-49.3333,0,0,0,0,-40,win,2
1993-01-08,Friendly,Tanzania,Uganda,0,0,1300,1504,-204,80,92,-12,15.0,12.0,3,2,1,2,7,6,5,1.2,1.0,1,1.6667,1378.75,0,0,0,0,0.0,2,3,5,9,8,15,0.8,1.5,2,1.2182,1444.3333,0,0,0,0,48.0,2,2,1,8,9,6,1.8,1.2,1,1.5333,1427.8,0,0,0,0,8.0,5,2,3,17,20,13,2.0,1.3,3,1.6909,1395.0,0,0,0,0,8.0,0,-1,1,-1,-3,-1,-0.6,-0.2,0,0.1334,-49.05,0,0,0,0,-8,-3,1,2,-8,-12,2,-1.2,0.2,-1,-0.4727,49.3333,0,0,0,0,40,loss,0
1993-01-10,FIFA World Cup qualification,Angola,Zimbabwe,1,0,1502,1514,-12,98,51,47,10.0,27.0,-17,0,2,3,2,2,5,0.4,1.0,1,0.3333,1611.25,0,0,0,0,0.0,3,3,4,12,10,9,1.0,0.9,3,0.9273,1514.625,0,0,0,0,0.0,4,0,1,12,8,3,1.6,0.6,2,2.4,1428.2,0,0,0,0,0.0,5,2,3,17,13,10,1.3,1.0,4,2.1455,1427.0,0,0,0,0,0.0,-4,2,2,-10,-6,2,-1.2,0.4,-1,-2.0667,183.05,0,0,0,0,0,-2,1,1,-5,-3,-1,-0.3,-0.1,-1,-1.2182,87.625,0,0,0,0,0,draw,1
1993-01-10,FIFA World Cup qualification,Zimbabwe,Angola,0,0,1514,1502,12,51,98,-47,27.0,10.0,17,4,0,1,12,8,3,1.6,0.6,2,2.4,1428.2,0,0,0,0,0.0,5,2,3,17,13,10,1.3,1.0,4,2.1455,1427.0,0,0,0,0,0.0,0,2,3,2,2,5,0.4,1.0,1,0.3333,1611.25,0,0,0,0,0.0,3,3,4,12,10,9,1.0,0.9,3,0.9273,1514.625,0,0,0,0,0.0,4,-2,-2,10,6,-2,1.2,-0.4,1,2.0667,-183.05,0,0,0,0,0,2,-1,-1,5,3,1,0.3,0.1,1,1.2182,-87.625,0,0,0,0,0,draw,1
1993-01-10,FIFA World Cup qualification,DR Congo,Cameroon,1,0,1681,1663,18,57,22,35,25.0,43.0,-18,3,0,2,9,9,5,1.8,1.0,1,1.8,1404.5,0,0,0,0,0.0,5,3,2,18,14,7,1.4,0.7,4,1.7273,1491.6667,0,0,0,0,0.0,2,2,1,8,9,3,1.8,0.6,3,1.5333,1494.5,0,0,0,0,0.0,3,4,3,13,13,8,1.3,0.8,4,1.4,1508.8333,0,0,0,0,16.0,1,-2,1,1,0,2,0,0.4,-2,0.2667,-90,0,0,0,0,0,2,-1,-1,5,1,-1,0.1,-0.1,0,0.3273,-17.1666,0,0,0,0,-16,loss,0
1993-01-10,FIFA World Cup qualification,Cameroon,DR Congo,0,0,1663,1681,-18,22,57,-35,43.0,25.0,18,2,2,1,8,9,3,1.8,0.6,3,1.5333,1494.5,0,0,0,0,0.0,3,4,3,13,13,8,1.3,0.8,4,1.4,1508.8333,0,0,0,0,16.0,3,0,2,9,9,5,1.8,1.0,1,1.8,1404.5,0,0,0,0,0.0,5,3,2,18,14,7,1.4,0.7,4,1.7273,1491.6667,0,0,0,0,0.0,-1,2,-1,-1,0,-2,0,-0.4,2,-0.2667,90,0,0,0,0,0,-2,1,1,-5,-1,1,-0.1,0.1,0,-0.3273,17.1666,0,0,0,0,16,win,2
1993-01-10,African Cup of Nations qualification,Senegal,Algeria,1,0,1547,1709,-162,51,29,22,27.0,39.0,-12,1,2,2,5,6,8,1.2,1.6,1,0.6667,1334.6,0,0,0,0,0.0,3,2,5,11,14,14,1.4,1.4,3,1.0727,1437.9,0,0,0,0,0.0,2,1,2,7,6,5,1.2,1.0,1,1.0667,1398.75,0,0,0,0,0.0,3,4,3,13,11,11,1.1,1.1,2,1.1818,1458.5556,0,0,0,0,0.0,-1,1,0,-2,0,3,0,0.6,0,-0.4,-64.15,0,0,0,0,0,0,-2,2,-2,3,3,0.3,0.3,1,-0.1091,-20.6556,0,0,0,0,0,loss,0
1993-01-10,African Cup of Nations qualification,Algeria,Senegal,0,0,1709,1547,162,29,51,-22,39.0,27.0,12,2,1,2,7,6,5,1.2,1.0,1,1.0667,1398.75,0,0,0,0,0.0,3,4,3,13,11,11,1.1,1.1,2,1.1818,1458.5556,0,0,0,0,0.0,1,2,2,5,6,8,1.2,1.6,1,0.6667,1334.6,0,0,0,0,0.0,3,2,5,11,14,14,1.4,1.4,3,1.0727,1437.9,0,0,0,0,0.0,1,-1,0,2,0,-3,0,-0.6,0,0.4,64.15,0,0,0,0,0,0,2,-2,2,-3,-3,-0.3,-0.3,-1,0.1091,20.6556,0,0,0,0,0,win,2
1993-01-10,Friendly,Tunisia,Bulgaria,1,0,1540,1803,-263,37,26,11,35.0,41.0,-6,1,3,1,6,7,4,1.4,0.8,1,1.2,1567.2,0,0,0,0,57.0,3,5,2,14,17,12,1.7,1.2,1,1.3818,1623.1,0,0,0,0,57.0,2,0,3,6,7,7,1.4,1.4,2,1.4,1762.4,0,0,0,0,0.0,5,2,3,17,18,9,1.8,0.9,5,1.4909,1693.7,0,0,0,0,0.0,-1,3,-2,0,0,-3,0,-0.6,-1,-0.2,-195.2,0,0,0,0,57,-2,3,-1,-3,-1,3,-0.1,0.3,-4,-0.1091,-70.6,0,0,0,0,57,win,2
1993-01-10,Friendly,Bulgaria,Tunisia,0,0,1803,1540,263,26,37,-11,41.0,35.0,6,2,0,3,6,7,7,1.4,1.4,2,1.4,1762.4,0,0,0,0,0.0,5,2,3,17,18,9,1.8,0.9,5,1.4909,1693.7,0,0,0,0,0.0,1,3,1,6,7,4,1.4,0.8,1,1.2,1567.2,0,0,0,0,57.0,3,5,2,14,17,12,1.7,1.2,1,1.3818,1623.1,0,0,0,0,57.0,1,-3,2,0,0,3,0,0.6,1,0.2,195.2,0,0,0,0,-57,2,-3,1,3,1,-3,0.1,-0.3,4,0.1091,70.6,0,0,0,0,-57,loss,0
